Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8055358410220014,0.6572327044025157,0.5588235294117647,0.6040462427745664,0.8421349040274871
LightGBM,0.8041163946061036,0.6655405405405406,0.5267379679144385,0.5880597014925373,0.8423648247177659
XGBoost,0.8005677785663591,0.654485049833887,0.5267379679144385,0.5837037037037037,0.8419786096256684
CatBoost,0.7991483321504613,0.6491803278688525,0.5294117647058824,0.5832106038291606,0.8397891963109354
Gradient Boosting,0.801277501774308,0.660958904109589,0.516042780748663,0.5795795795795796,0.8407101707613216
Random Forest,0.7821149751596878,0.6143344709897611,0.48128342245989303,0.5397301349325337,0.8194864243457594
